ip,source,lineage,lat,lon,city,country,accuracy_radius,db_version,is_default_centroid,centroid_match,status,fetched_at_utc
node_02096,geojs,maxmind_geolite,37.9842,23.7353,Athens,GR,,,False,,success,2026-08-01T09:23:06Z
node_02096,ip2location_lite,ip2location_lite,38.37019,21.42952,Mesolongi,GR,,1780555707,False,,success,2026-08-01T09:23:06Z
node_02096,ip_api,ipapi_com_unverified,37.9842,23.7353,Athens,GR,,,False,,success,2026-08-01T09:23:05Z
node_02096,ipinfo,ipinfo,37.9838,23.7278,Athens,GR,,,False,,success,2026-08-01T09:23:06Z
node_02096,ipwho_is,ipwhois_unverified,37.9417273,23.6461937,Piraeus,GR,,,False,,success,2026-08-01T09:23:06Z
node_02096,maxmind_geolite2,maxmind_geolite,37.9842,23.7353,Athens,GR,100,1780418264,False,,success,2026-08-01T09:23:06Z
node_02096,reallyfreegeoip,maxmind_geolite,37.9842,23.7353,Athens,GR,,,False,,success,2026-08-01T09:32:50Z
node_02094,dbip_lite,dbip_lite,39.7803,19.7447,Karousádes,GR,,1780278471,False,,success,2026-08-01T09:23:02Z
node_02094,geojs,maxmind_geolite,37.9842,23.7353,,GR,,,True,no_city,success,2026-08-01T09:23:02Z
node_02094,ip2location_lite,ip2location_lite,37.616669,21.633329,Krestena,GR,,1780555707,False,,success,2026-08-01T09:23:02Z
node_02094,ip_api,ipapi_com_unverified,39.7803,19.7447,Karousádes,GR,,,False,,success,2026-08-01T09:23:00Z
node_02094,ipinfo,ipinfo,37.9838,23.7278,Athens,GR,,,False,,success,2026-08-01T09:23:02Z
node_02094,ipwho_is,ipwhois_unverified,40.7533373,21.4674341,Perasma,GR,,,False,,success,2026-08-01T09:23:01Z
node_02094,maxmind_geolite2,maxmind_geolite,37.9842,23.7353,,GR,100,1780418264,True,no_city,success,2026-08-01T09:23:02Z
node_02094,reallyfreegeoip,maxmind_geolite,37.9842,23.7353,,GR,,,True,no_city,success,2026-08-01T09:34:36Z
node_02104,dbip_lite,dbip_lite,70.0513,24.9718,Lakselv,NO,,1780278471,False,,success,2026-08-01T09:23:19Z
node_02104,geojs,maxmind_geolite,60.3115,5.3453,Rådal,NO,,,False,,success,2026-08-01T09:23:18Z
node_02104,ip2location_lite,ip2location_lite,70.051331,24.971821,Lakselv,NO,,1780555707,False,,success,2026-08-01T09:23:19Z
node_02104,ip_api,ipapi_com_unverified,70.0513,24.9718,Lakselv,NO,,,False,,success,2026-08-01T09:23:18Z
node_02104,ipinfo,ipinfo,58.7657,8.4839,Åmli,NO,,,False,,success,2026-08-01T09:23:18Z
node_02104,ipwho_is,ipwhois_unverified,70.0513251,24.971816,Lakselv,NO,,,False,,success,2026-08-01T09:23:18Z
node_02104,maxmind_geolite2,maxmind_geolite,60.3115,5.3453,Rådal,NO,100,1780418264,False,,success,2026-08-01T09:23:19Z
node_02104,reallyfreegeoip,maxmind_geolite,60.3115,5.3453,Rådal,NO,,,False,,success,2026-08-01T09:23:18Z
node_02172,dbip_lite,dbip_lite,52.1867,5.6055600000000005,Voorthuizen,NL,,1780278471,False,,success,2026-08-01T09:25:04Z
node_02172,geojs,maxmind_geolite,52.3824,4.8995,,NL,,,True,no_city,success,2026-08-01T09:25:03Z
node_02172,ip2location_lite,ip2location_lite,52.218185,6.89578,Enschede,NL,,1780555707,False,,success,2026-08-01T09:25:04Z
