ip,source,lineage,lat,lon,city,country,accuracy_radius,db_version,is_default_centroid,centroid_match,status,fetched_at_utc
node_00850,geojs,maxmind_geolite,51.4964,-0.1224,,GB,,,True,no_city,success,2026-06-03T19:14:04Z
node_00850,ip2location_lite,ip2location_lite,53.583328,-2.43333,Bolton,GB,,1780555707,False,,success,2026-06-04T08:25:34Z
node_00850,ip_api,ipapi_com_unverified,53.5769,-2.44211,Bolton,GB,,,False,,success,2026-06-03T18:59:35Z
node_00850,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:25:33Z
node_00850,ipinfo,ipinfo,53.5833,-2.4333,Bolton,GB,,,False,,success,2026-06-04T08:25:33Z
node_00850,ipwho_is,ipwhois_unverified,53.5768647,-2.4282192,Bolton,GB,,,False,,success,2026-06-03T18:59:35Z
node_00850,maxmind_geolite2,maxmind_geolite,51.4964,-0.1224,,GB,200,1780418264,True,no_city,success,2026-06-04T08:25:34Z
node_00850,reallyfreegeoip,maxmind_geolite,51.4964,-0.1224,,GB,,,True,no_city,success,2026-06-03T19:14:04Z
node_00547,dbip_lite,dbip_lite,51.1605,71.4704,Astana,KZ,,1780278471,False,,success,2026-06-04T08:19:30Z
node_00547,geojs,maxmind_geolite,51.1876,71.4491,Astana,KZ,,,False,,success,2026-06-03T19:11:26Z
node_00547,ip2location_lite,ip2location_lite,51.180099,71.445976,Astana,KZ,,1780555707,False,,success,2026-06-04T08:19:30Z
node_00547,ip_api,ipapi_com_unverified,51.1876,71.4491,Astana,KZ,,,False,,success,2026-06-03T18:52:01Z
node_00547,ipapi_co,ipapi_co_unverified,,,,,,,False,,http_error,2026-06-04T08:19:29Z
node_00547,ipinfo,ipinfo,51.1801,71.446,Astana,KZ,,,False,,success,2026-06-04T08:19:29Z
node_00547,ipwho_is,ipwhois_unverified,51.1605227,71.4703558,Astana,KZ,,,False,,success,2026-06-03T18:52:01Z
node_00547,maxmind_geolite2,maxmind_geolite,51.1876,71.4491,Astana,KZ,20,1780418264,False,,success,2026-06-04T08:19:30Z
node_00547,reallyfreegeoip,maxmind_geolite,51.1876,71.4491,Astana,KZ,,,False,,success,2026-06-03T19:11:27Z
node_00543,dbip_lite,dbip_lite,43.2291,76.9513,Almaty (Medeū),KZ,,1780278471,False,,success,2026-06-04T08:19:25Z
